species,type,estimate,se
Eurasian Wigeon,intercept,0.15680129557753797,0.3773780175590007
European Golden-Plover,intercept,0.22803281659866048,0.37723974879050726
European Starling,intercept,0.9588655491357,0.09567788899640599
European Stonechat,intercept,1.0227154524776148,0.7204215687575729
Evening Grosbeak,intercept,1.1000854581777484,0.31071696890713735
Fernandina's Flicker,intercept,0.2535075469402056,0.6526891805034514
Ferruginous Duck,intercept,1.352929989267108,0.8095315365545067
Ferruginous Hawk,intercept,0.4126105140405402,0.5775275641876348
Field Sparrow,intercept,1.5257578045518385,0.16637627760913962
Fiji Goshawk,intercept,0.5809081599704443,0.6226285183658357
Fiji Petrel,intercept,1.1747647112305273,0.8028519883511555
Fischer's Turaco,intercept,0.8509832902596794,0.8152640315187915
Fish Crow,intercept,0.02574878715824236,0.19116852967713205
Flammulated Owl,intercept,0.7483454335188695,0.7813206904063896
Flores Crow,intercept,0.5081172993963661,0.6742460875125632
Flores Hawk-Eagle,intercept,0.05168750197926031,0.7908397511617345
Flores Scops-Owl,intercept,0.06558799704216722,0.8010628796524127
Forest Buzzard,intercept,0.8745894874420362,0.8573748153379329
Forty-spotted Pardalote,intercept,1.2695722775693432,0.5752642381377043
Fox Sparrow,intercept,1.173763785282433,0.27820515892497016
Fringe-backed Fire-eye,intercept,0.29242153003196425,0.5367893026585423
Gadwall,intercept,-0.8829796388149437,0.4738606833391038
Galapagos Hawk,intercept,-0.3332215075976793,0.4682534297784905
Galapagos Martin,intercept,0.80436627197413,0.8083842196122153
Gambel's Quail,intercept,0.4818367788253809,0.21559497734038355
Garganey,intercept,0.8135676759253355,0.8840343921749888
Genovesa Cactus-Finch,intercept,1.8636410896450584,0.46994024811678065
Genovesa Ground-Finch,intercept,1.44153854460397,0.4207533673252765
Giant Antpitta,intercept,0.9126840969591354,0.8522350357280029
Giant Kingbird,intercept,0.11952056564425406,0.4751972448048006
Gila Woodpecker,intercept,0.787236074017675,0.48423170806260524
Gilded Flicker,intercept,1.1467648078399144,0.7594600031400612
Glaucous Gull,intercept,1.070045491404262,0.8597084509364551
Gold-ringed Tanager,intercept,0.9639352625222228,0.5825305771098367
Golden-cheeked Warbler,intercept,0.7159778690308665,0.7277070818366517
Golden-crowned Kinglet,intercept,2.3105449694485687,0.2347050738959354
Golden-crowned Sparrow,intercept,1.7199023442122634,0.5123745327364544
Golden-fronted Woodpecker,intercept,0.7666390452126456,0.5105981756464386
Golden-winged Warbler,intercept,1.4170686617953852,0.5660949880607626
Golden Swallow,intercept,0.24447912723592646,0.4239406970320318
Grace's Warbler,intercept,1.4486251587943748,0.4855478742865549
Grasshopper Sparrow,intercept,2.296346917090422,0.24879118986837193
Gray-breasted Parakeet,intercept,0.2721644633141991,0.3964262893365747
Gray-cheeked Thrush,intercept,1.243970511961755,0.33322969181131845
Gray-fronted Quail-Dove,intercept,0.9201244605213402,0.7846158587858685
Gray Catbird,intercept,1.3397990102336836,0.11358919919879867
Gray Flycatcher,intercept,0.9958831924649183,0.5445350427774233
Gray Heron,intercept,0.0025585755978322355,0.40957617375682165
Gray Kingbird,intercept,0.9343978161045382,0.7236641766734422
Gray Partridge,intercept,0.9190473612041709,0.3535909588449558
Gray Vireo,intercept,1.4026245803640978,0.6573874828489431
Graylag Goose,intercept,0.17060699504904864,0.3875246403748321
Great-tailed Grackle,intercept,0.3297442362665455,0.17853841023465103
Great Cormorant,intercept,-0.46406461788151765,0.3128388795671416
Great Crested Flycatcher,intercept,1.4147462627375083,0.19111653769385886
Great Crested Grebe,intercept,-0.4660829751441763,0.39043175992416623
Great Egret,intercept,0.3291952947569906,0.8677227585963568
Great Horned Owl,intercept,1.5991678226450339,0.3093544032393329
Greater Adjutant,intercept,-0.9267579059244092,0.379761059907811
Greater Pewee,intercept,0.7037438013405324,0.7943898962923929
Greater Prairie-Chicken,intercept,0.9740804005592428,0.8232992649400789
